condition_label,n_runs,n_solved,solve_rate_pct,terminal_reward_mean_std,terminal_reward_median,episodes_to_learn_mean_std,episodes_to_learn_median
Discrete / eta=0.015625,20,0,0.0,142.81 +/- 63.14,112.865,NA,
Discrete / eta=0.03125,20,0,0.0,143.42 +/- 56.80,116.96000000000001,NA,
Discrete / eta=0.0625,20,0,0.0,146.62 +/- 59.30,123.38,NA,
Discrete / eta=0.25,20,0,0.0,152.53 +/- 83.05,116.16999999999999,NA,
Discrete / eta=0.5,20,0,0.0,140.36 +/- 59.22,113.645,NA,
Discrete / eta=1,20,0,0.0,120.16 +/- 55.03,100.57,NA,
PlaceSSP / eta=0.015625,20,18,90.0,487.36 +/- 32.89,499.635,688.22 +/- 138.76,694.0
PlaceSSP / eta=0.03125,20,18,90.0,468.70 +/- 79.20,498.35,646.72 +/- 158.91,651.0
PlaceSSP / eta=0.0625,20,18,90.0,466.72 +/- 90.93,497.845,650.17 +/- 174.71,627.5
PlaceSSP / eta=0.25,20,16,80.0,456.02 +/- 85.24,495.975,588.25 +/- 206.95,507.0
PlaceSSP / eta=0.5,4,2,50.0,414.50 +/- 102.79,441.04,924.50 +/- 17.68,924.5
PlaceSSP / eta=1,20,0,0.0,189.49 +/- 80.26,158.57,NA,
